song_id	song_name	display_artist	artist_id	spotify_id
18755	Give It Up	The Goodmen	303010	5BAC64GPGTndMkLmIurM9v
18761	I'm Looking For The One (To Be With Me)	Jazzy Jeff & The Fresh Prince	7127435	7351lA69VXW1TLs0OgP0Ad
18768	Yours	Shai	278844	5jnf5Lv2TJX9uYHsFKfrEh
18770	Betcha'll Never Find	Chantay Savage	298932	null
18780	What s My Name?	Snoop Doggy Dogg	null	5XhkV07Vou38wnrzwURUOC
18783	I ll Be Loving You	Collage	1487585	null
18786	Mary Jane s Last Dance	Tom Petty And The Heartbreakers	430103	5eYwDBLucWfWI5KsV7oYX2
18787	I m In The Mood	CeCe Peniston	298830	45iX8CSw3DW9rLYQek5rF4
18794	Betcha ll Never Find	Chantay Savage	298932	null
18796	Funk Dat/Why Is It?	Sagat	277423	4mEB76RSZIM78IuLmyF7e7
18805	Whatta Man	Salt-N-Pepa Featuring En Vogue	277460	7yQsd17sVkOLaDwa4tz9dT
18809	One On One	To Be Continued...	null	null
18813	Without You/Never Forget You	Mariah Carey	309388	null
18816	Zunga Zeng	K7	276647	null
18825	It s All Good	M.C. Hammer	276852	4y2vzy436lUS1yWWQjUf9E
18828	Krazy	Blackgirl	289330	null
18833	Hey D.J. (From "Mi Vida Loca")	Lighter Shade Of Brown	307192	4lojlvrqNJnqcrwNXTZapz
18834	Family Affair (From "Addams Family Values")	Shabba Ranks	278794	null
18837	I m Outstanding	Shaquille O Neal	278931	4oZ2airueiueZ7LEzU3AeI
18841	You Don t Love Me (No, No, No)	Dawn Penn	300533	49VMLaQHGaWGey2cRiddgV
18849	Heaven Help/Spinning Around Over You	Lenny Kravitz	306952	null
18850	Since I Don t Have You	Guns N  Roses	303248	null
18858	I Like To Move It	Reel 2 Real Featuring The Mad Stuntman	364799	758I3j3NigmHfnfMUpdKzQ
18863	Comin  On Strong	Sudden Change	null	null
18867	I Want You	Juliet Roberts	305392	5d51RK4Se9DmCfdzdUF062
18875	Don t Go Breaking My Heart	Elton John	301679	null
18881	Neon Moonlight	Rosco Martinez	368914	null
18882	I ll Take You There (From "Threesome")	General Public	302686	null
18883	Papa z Song	2Pac Duet With Mopreme	431886	null
18889	Part Time Lover/I m Still In Love With You	H-Town/Al B. Sure!	null	null
18892	The Right Time (From "Four Weddings And A Funeral")	I To I	276435	null
18901	Regular Thang	Ovis	322721	null
18902	Back	Aaliyah	275352	45wneA2j0Z0WMnYNDO6Ad0
18918	Leavin	Tony Toni Tone	null	null
18923	(Meet) The Flintstones (From "The Flintstones")	The B.C. 52 s	null	null
18930	Any Time, Any Place/And On And On	Janet Jackson	304191	null
18934	100% Pure Love	Crystal Waters	299825	5pkMrPKCZ7gMYacSzFBZCl
18950	Your Love Is So Divine	Miranda	311433	null
18952	I m Not Over You	CeCe Peniston	298830	57zZpWRO9kVuuMZOcIKrw0
18953	What s Up	DJ Miko	299963	7sAO0s976ue4kpI4TpzcxF
18955	Girls	Blur	292472	5CeL9C3bsoe4yzYS1Qz8cw
18957	It s Over Now	Cause	null	null
18959	Old To The New	Nice	418718	1eyHkqk22jB7DVr7kGXFs8
18964	90 s Girl	Blackgirl	289330	null
18981	Action	Terror Fabulous Featuring Nadine Sutherland	375698	42F0eI7tFI8Xez4iqXObBt
18986	Take It Easy	Mad Lion	308723	7B2K7BhyPTa1pyqEaI4aCC
18996	No Guns, No Murder	Rayvon	364709	54zbUGqw8JRk020wLRWlHl
18997	I m The Only One	Melissa Etheridge	310444	4veE1jrMbVSy9FRCiYDGkD
18999	I ll Make Love To You	Boyz II Men	297041	627KV5gq7CbBa3RaivClx6
19004	Romantic Call	Patra Featuring Yo-Yo	328281	1siSzxLE2nCUZ4VYTMbCQT
19014	Juicy/Unbelievable	The Notorious B.I.G.	418733	5ByAIlEEnxYdvpnezg7HTX
19016	Your Love Is A...	Whitehead Bros.	419425	1tsjWORjVtgakgIDfzOTXB
19020	Body	Anita Baker	279362	7n4Cj5mMrvnamItq9kEvQU
19028	I Saw It Cummin	PMD	277138	null
19033	Sukiyaki	4PM	null	null
19035	What s The Frequency, Kenneth?	R.E.M.	277275	null
19037	I ll Take Her	Ill Al Skratch Featuring Brian McKnight	276512	6kHwbzrIm9fZUHQg0WsxOK
19038	5-4-3-2 (Yo! Time Is Up)	Jade	1518199	null
19040	Hip Hop Ride	Da Youngsta s	300067	2MYP61a4O2CcM9tEYwM0gf
19047	I Belong To You/How Many Ways	Toni Braxton	430180	null
19049	U Will Know (From "Jason s Lyric")	B.M.U. (Black Men United)	null	null
19051	Through The Rain	Tanya Blount	281557	7lVEDSLP9MIhViYNV0oVtb
19053	Hold My Hand	Hootie	null	1RcCGzWy1qQEDkQqO4sFJQ
19059	You Don t Know Nothin	For Real	302291	null
19063	You Want This/70 s Love Groove	Janet Jackson	304191	null
19068	Before I Let You Go	BLACKstreet	289417	455CCMp9OHkIg0St60cxmd
19087	Tremor Christ/Spin The Black Circle	Pearl Jam	328459	null
19088	I Never Seen A Man Cry (aka I Seen A Man Die)	Scarface	278349	null
19090	Back Up Off Me!	Doctor Dre	301061	null
19095	Shame (From "A Low Down Dirty Shame")	Zhane	431789	null
19098	Biological Didn t Bother	Shaquille O Neal	278931	1XkAMb9xkBEQCwJaccjlpb
19121	Whutcha Want?	Nine	312323	7vl0JjpJNnAHCREOnBKOkW
19128	You Want This/70's Love Groove	Janet Jackson	304191	null
19134	U Will Know (From "Jason's Lyric")	B.M.U. (Black Men United)	null	null
19148	Big Poppa/Warning	The Notorious B.I.G.	418733	2g8HN35AnVGIk7B8yMucww
19153	Whiney, Whiney (From "Dumb And Dumber")	Willi One Blood	431382	581sRkelbIjx55tcgOqCr2
19160	Woman To Woman	Jewell	304594	6Car98x9l5IlelAooQXoJj
19171	Dream About You/Funky Melody	Stevie B	280706	2fPKE94A80uHDX6wpxkpLC
19173	Where I Wanna Be Boy	Missjones	311469	null
19175	Like The Way I Do/If I Wanted To	Melissa Etheridge	310444	null
19183	Foe Tha Love Of $	Bone Thugs-N-Harmony Featuring Eazy-E	296202	null
19188	1-Luv	E-40 (Featuring Leviti)	null	2yJCZ4b5v5vT0iqAs9LuS5
19198	Dear Mama/Old School	2Pac	431886	6iXcPsToMyTheci6e1L2ya
19201	People Don't Believe	Scarface Feat. Ice Cube	278349	null
19205	Let's Get It On	Shabba Ranks	278794	2KznT5GjThKWgDGM7yppb4
19228	Can't You See (From "New Jersey Drive")	Total Feat. The Notorious B.I.G.	430293	1ZcYV3MguzpTM3m9hCyzUx
19236	Move It To The Rhythm	Technotronic Featuring Ya Kid K	371857	1sKKqbK0zlQSYRzHggEtvO
19238	Freedom (From "Panther")	Various Artists	277740	1uVBmMpC4Bu0ZL4gGq6Ub2
19243	Love The One You're With/Going In Circles	Luther Vandross	308632	null
19245	Someone To Love	Jon B. Featuring Babyface	305126	4mKbb9uvBMlVvOUv8fdBt8
19256	Freak Me Baby	Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock	null	null
19263	Just Roll	Fabu	276139	null
19264	Boombastic/In The Summertime	Shaggy	278838	1FxEAfchJSITaNBdoQgPfc
19270	Any Man Of Mine/Whose Bed Have Your Boots Been Under?	Shania Twain	null	null
19271	Froggy Style	Nuttin' Nyce	312485	4OhfEUz7d5si8CFLHx9WIR
19272	I Wanna Love Like That	Tony Thompson	1541505	4r6jPijW3d5iV0eBFVccsa
19286	Scream/Childhood (From "Free Willy 2")	Michael Jackson & Janet Jackson	null	null
19294	One More Chance/Stay With Me	The Notorious B.I.G.	418733	7fXhkARAtS66kxexMIAx8O
19298	Sprinkle Me	E-40 (Featuring Suga T)	null	5C0LRpVmi4h5pIwAnujiw0
19315	Died In Your Arms	Intonation Featuring Joee	303865	1D1v6fJUE5kxg66AvPnIFa
19316	Glaciers Of Ice/Criminology	Chef Raekwon	null	null
19328	Listen Me Tic (Woyoi)	Ini Kamoze	303818	null
19358	How High (From "The Show")	Redman/Method Man	null	6RHnxzplfGkXpDP8LLxz9Y
19379	Do You Sleep?	Lisa Loeb & Nine Stories	307505	4wPgOKj2V4877QjrGgA8bs
19386	I'll Be There For You/This House Is Not A Home	The Rembrandts	418969	null
19387	A Mover La Colita	Artie The 1 Man Party	280015	0rYMfeaBguDVJkte22d86m
19389	West Up!	WC & The Maad Circle	277771	2ERUSevby81FgegkaE8rmI
19395	Girlstown	Super Cat	280994	5kO0QdeWWoc1c0pH10OBPC
19399	Incarcerated Scarfaces/Ice Cream	Raekwon	277333	null
19406	Before You Walk Out Of My Life/Like This And Like That	Monica	311759	null
19419	(If You're Not In It For Love) I'm Outta Here!/The Woman In Me	Shania Twain	null	6Lst3nF4McKOTLSLuTvLhw
19421	(You Make Me Feel Like) A Natural Woman (From "New York Undercover")	Mary J. Blige	309851	6RfFIHjpdcEdWWAVmCKtIe
19423	Where Ever You Are	Terry Ellis	375974	2AyRyaIASwwqE7RNVCedss
19441	Throw Your Hands Up	L.V.	276735	null
19443	Exhale (Shoop Shoop) (From "Waiting To Exhale")	Whitney Houston	431329	null
19444	Rock Steady	Bonnie Raitt With Bryan Adams	null	6QTzhcDkKupkvztUgGZooF
19466	Beware Of My Crew (From "A Thin Line Between Love And Hate")	L.B.C. Crew Feat. Tray D & South Sentrell	null	null
19467	I Got Id/Long Road	Pearl Jam	328459	null
19475	Cold World	Genius/GZA Featuring Inspektah Deck	302695	4kxcVF4kEZTQZDlnNfDeur
19477	Let's Play House	Tha Dogg Pound Featuring Michel'le	377303	72dGR173qzIBT1qOUQn52F
